Division,GN Division
 Divulapitiya,86 Hunumulla
 Divulapitiya,85B Hapugahagama
 Divulapitiya,85 Barawavila
 Divulapitiya,51 Kudagammana
 Divulapitiya,46 Pahala Madithiyawala
 Divulapitiya,44A Kaluaggala
 Divulapitiya,45 Kuleegedara
 Divulapitiya,53G Nawana East
 Divulapitiya,42A Nariyamulla
 Divulapitiya,42 Halpe
 Divulapitiya,41 Parana Halpe West
 Divulapitiya,41A Parana Halpe East
 Divulapitiya,42B Gurullagama
 Divulapitiya,43A Ihala Kithulwala
 Divulapitiya,43 Pahala Kithulwala
 Divulapitiya,43B Kithulwala North
 Divulapitiya,44B Kaluaggala Pahalagama
 Divulapitiya,44 Wattemulla
 Divulapitiya,46A Ihala Madithiyawala
 Divulapitiya,47 Hangawatta
 Divulapitiya,48 Rassapana
 Divulapitiya,50 Balagalla West
 Divulapitiya,50B Parana Handiya
 Divulapitiya,85A Pinnakele
 Divulapitiya,85C Pinnakele South
 Divulapitiya,86B Urapana
 Divulapitiya,86A Kelepitimulla
 Divulapitiya,86C Sayakkaramulla
 Divulapitiya,87C Henpitagedara
 Divulapitiya,89 Aluthepola West
 Divulapitiya,89A Thotillagahawatta
 Divulapitiya,90 Katuwellegama South
 Divulapitiya,91B Palugahawela
 Divulapitiya,91A Dagonna South
 Divulapitiya,87B Hapuwalana South
 Divulapitiya,87 Hapuwalana
 Divulapitiya,97A Bomugammana North
 Divulapitiya,97B Bomugammana South
 Divulapitiya,97D Pinnalanda
 Divulapitiya,97 Divulapitiya
 Divulapitiya,50A Balagalla East
 Divulapitiya,49 Ullapola East
 Divulapitiya,49A Ullapola West
 Divulapitiya,97C Wewagedara
 Divulapitiya,97E Horagasmulla
 Divulapitiya,104 Aswennawatta East
 Divulapitiya,87A Hapuwalana North
 Divulapitiya,104A Aswennawatta West
 Divulapitiya,104B Weragodamulla
 Divulapitiya,89B Aluthepola East
 Mirigama,3A Nalla
 Mirigama,1A Giriullagama
 Mirigama,1 Loluwagoda
 Mirigama,3B Delwala South
 Mirigama,3 Delwala
 Mirigama,1B Loluwagoda South
 Mirigama,11 Madurupitiya
 Mirigama,11A Hapugahagedara
 Mirigama,2 Kadangamuwa
 Mirigama,5 Henegama
 Mirigama,4A Maladeniya
 Mirigama,4 Kahadawa
 Mirigama,6 Kandalama
 Mirigama,10 Walbotale
 Mirigama,12A Perisyala
 Mirigama,12B Kamarangawa
 Mirigama,12 Keenadeniya
 Mirigama,14E Bothale Pahalagama North
 Mirigama,9A Maweehena
 Mirigama,9B Kurunduwatta
